	VC10.Ctrl_S1.bam	VC11.Ctrl_S3.bam	VC35B.Ctrl_S5.bam	VC35C.Ctrl_S7.bam	VC10.VC_S2.bam	VC11.VC_S4.bam	VC35B.VC_S6.bam	VC35C.VC_S8.bam
Ear5	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ang2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ear14	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ear11	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
AC125117.1	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm7247	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Vmn2r88	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Vmn2r89	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm5622	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.30043516619232	6.29468371145954	6.13179381389296	6.13179381389296
Gm17175	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm4181	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm17079	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Gm5800	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Ang4	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
AY358078	7.29560372274547	7.34482564220442	7.33899772214162	7.44077958909221	7.25965716686906	7.27674886415633	7.38748350291534	7.37009356375249
Ear6	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Mettl17	7.76937862857364	7.90531164327157	8.00467620198748	7.74430482520056	7.63653185835001	7.81291672986485	7.65420375918031	7.75886946083269
Slc39a2	6.35359708413874	6.3741516471862	6.44852269160215	6.13179381389296	6.30043516619232	6.13179381389296	6.13179381389296	6.13179381389296
Ndrg2	6.87641372363976	7.0097122370469	7.16232625850307	7.27458294414087	6.97992305213337	7.12957608839984	7.25064896289008	7.16704794842347
Tppp2	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Rnase13	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Arhgef40	6.51521738751588	6.42844658045411	6.57882565661087	6.54830722777354	6.50803496413872	6.49525820719799	6.79942418419032	6.53026473054313
Zfp219	9.17401247286855	9.3181870083746	9.14440017723172	9.16444621486194	9.42324959619012	9.30537365605018	9.38018098674849	9.33342867910931
G630016D24Rik	6.44516362046025	6.30326731179385	6.31490184372467	6.46150336323522	6.42355807306468	6.49525820719799	6.43249391100309	6.56802190855784
Olfr221	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296	6.13179381389296
Hnrnpc	11.2536384434033	11.2314541677271	11.2883781294677	11.3507776973977	11.3537212738825	11.2767070084134	11.2583215617419	11.2811553537726
Rpgrip1	6.84397338561152	6.76858472937674	6.44852269160215	6.52157437132144	6.57646865074838	6.79783231403592	6.6059663477055	6.6935540756753
Supt16h	11.7455385288341	11.7022855215559	11.5735665839354	11.7137468071193	11.714618542406	11.6832801355174	11.5596774215407	11.5943201118114
Chd8	10.5929418841948	10.7358482852243	10.4665007507597	10.4117995831984	10.6949440989575	10.7892788167081	10.6160656494118	10.4784273339688
Rab2b	7.3050790456045	7.43772704321588	7.36350467734521	7.37290718569075	7.4556806846141	7.36663928024866	7.37138285697409	7.42576475486706
Tox4	9.47763196484395	9.49294732295775	9.36607487851331	9.2376104320837	9.57015790132411	9.49093628873507	9.40670330501812	9.45252311743632
