	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Khdc1c	26.032172739696	2.31323011067235	0.519639750364003	4.45160345999695	8.52314506424911e-06	0.00070948878558495
Slc5a4b	8.55927463451094	2.31132016444562	0.700938258750105	3.29746612571428	0.000975614420883222	0.0338887498098399
Nlrp4g	17.1161355972675	2.26140565517515	0.492245719405305	4.59405854845668	4.34707325967039e-06	0.000394545978174471
3830417A13Rik	8.6985929258285	2.24597104941125	0.69673722636384	3.22355540141383	0.00126609804760083	0.0413573401279164
Mgat4c	35.9689513316018	2.1572379733043	0.352600303009452	6.11808315220442	9.47076474819309e-10	2.18417571274722e-07
Pkhd1	11.2854419029663	2.14263337863075	0.660024129350415	3.24629552670976	0.00116917401886665	0.0391617621367049
Tspan2	52.1381121170524	2.10250075608143	0.289583945741038	7.26041891134946	3.8589332948306e-13	1.42861772609676e-10
Khdc1a	35.0109517227128	2.03282710478889	0.447807226170214	4.53951384879217	5.63840772620102e-06	0.000489636542544419
Dazl	174.56802485212	2.00170239665065	0.159842019547604	12.5230049164545	5.58788388714033e-36	1.31017250873817e-32
Nlrp14	16.0589854157982	1.94697987293447	0.503787070878294	3.86468805072773	0.000111231266082648	0.0063869446989824
Samd9l	52.9677386495381	1.91015871123294	0.284831633709591	6.70627305807085	1.9965796275952e-11	6.10606134804548e-09
Neb	43.9191808793488	1.90309821901185	0.335888004146953	5.6658713485321	1.46279251453462e-08	2.54056359191025e-06
D630013G24Rik	14.8698405802885	1.86559066667041	0.531781491351514	3.50819029434259	0.00045116620561497	0.0197111993186068
Aass	23.2828882006031	1.85516164012021	0.419260052561737	4.42484712956771	9.6510600680236e-06	0.000792292112272235
AV320801	23.1045936079229	1.80139734492042	0.443267076512635	4.06390963906627	4.82575141588214e-05	0.00315761260086651
Rpl39l	218.35452525843	1.73165477070788	0.133956859607724	12.9269585430624	3.17117261258105e-38	1.48706854379301e-34
Nlrp4c	62.9684625106143	1.69570243006148	0.288554843782155	5.87653427624198	4.18944693124813e-09	8.30100555335193e-07
Gm5128	17.4750035263553	1.68018256551387	0.494517852469253	3.39761761304326	0.000679753614734494	0.0266596452222933
Gm7903	15.6655949978895	1.64642927397342	0.523466287776332	3.1452441397275	0.00165948281090689	0.0494610258132163
Fmn2	253.615274137589	1.61705695417431	0.124824195317888	12.9546755743642	2.21068719283588e-38	1.48706854379301e-34
Gm364	21.5991068205096	1.60976237025576	0.425985977296095	3.77890929761016	0.000157516781458123	0.00852286954443412
Sstr5	58.5038488665352	1.58536975880361	0.29983722166048	5.28743479553316	1.24043555337675e-07	1.79901519225816e-05
Aox3	134.599140988612	1.58158679173755	0.184660533562488	8.56483386690936	1.08231783336608e-17	6.09041891191762e-15
Colec12	17.7857902435418	1.57181237004292	0.455912903370006	3.44761545116278	0.000565558637706608	0.0232639734364227
Tex19.2	17.5761582340604	1.5179348870273	0.481306828041361	3.15377800311791	0.00161171637696322	0.0488655732567211
Magea4	22.3504156432195	1.50105553737742	0.41213046403939	3.64218534748733	0.000270333311462855	0.0130241404988337
Ankrd45	63.846902391328	1.45089654389504	0.245661708842403	5.90607527209632	3.50353942114227e-09	7.35181146802274e-07
Kdm5d	33.7803131312779	1.44124742291201	0.354372432144268	4.06704159855547	4.76137461722669e-05	0.00313004757547407
Prex2	205.88334592906	1.43404033354251	0.245003557641052	5.85314085782984	4.82375245067457e-09	9.42507631612358e-07
Gm15023	26.139143063903	1.42198290369328	0.393865239351788	3.61032851244639	0.00030580943543814	0.0141984393984943
Akap6	25.4904017484434	1.38266005179362	0.398207517879699	3.47220981451014	0.000516192733866319	0.0218072053454396
Gm13227	151.339501939506	1.35453453948506	0.156538148722255	8.65306348989988	5.0135115035557e-18	2.93875332633423e-15
Lpl	203.425788913082	1.28869537878293	0.136153297379755	9.46503245667667	2.93469906807865e-21	2.42854979351356e-18
Col11a1	41.0869354653995	1.28426894953758	0.334237084283157	3.84238916005377	0.000121842443159232	0.0068838533749561
Slc1a4	345.840443570855	1.28111734600814	0.117274938984642	10.9240504160562	8.84608161001097e-28	1.13133341899668e-24
Nod1	69.4983703009637	1.27934674023883	0.251616224838138	5.08451607626585	3.68564552009969e-07	4.75684964924426e-05
Clca4	41.6765455308052	1.27072444061706	0.312429045459407	4.06724169562579	4.75728945732597e-05	0.00313004757547407
Csf2ra	38.9540494466108	1.26942778262197	0.306594637695864	4.14041090921237	3.46684237617137e-05	0.00236755041495043
Spna1	312.53013377898	1.24603436698178	0.113478821338865	10.9803252473071	4.75209774463969e-28	6.68525110715912e-25
Ahsg	29.9237108809166	1.24033153698374	0.367459829113823	3.37542076361097	0.000737029121505369	0.0280171622490715
Gm14136	35.2804951102294	1.23301728539917	0.329731981521353	3.73945311495154	0.00018442104004166	0.00968072832576894
Gm10482	24.7033789574845	1.22388273570454	0.374952414441471	3.26410149279247	0.00109811821070595	0.0371354014139696
Hint3	36.3839947941135	1.20991574856769	0.335746415988356	3.60365946128119	0.000313768098022276	0.0145200315887414
